CustomerID,Age,Gender,MaritalStatus,IncomeLevel,total_spent,avg_spent,std_spent,transaction_count,min_spent,max_spent,transaction_period_days,spent_books,spent_clothing,spent_electronics,spent_furniture,spent_groceries,total_interactions,resolved_interactions,resolution_rate,LastLoginDate,LoginFrequency,ServiceUsage,ChurnStatus
368,41,F,Married,High,1939.2,323.2,142.55489314646476,6,139.87,495.94,276,993.9,0.0,449.36,495.94,0.0,0.0,0.0,0.0,2023-01-17,8,Online Banking,0
244,55,F,Widowed,High,1649.9,235.70000000000002,163.21222911697924,7,24.71,467.07,255,0.0,877.79,347.29999999999995,115.21,309.6,2.0,0.0,0.0,2023-06-21,15,Online Banking,0
593,54,F,Single,Medium,2959.62,328.84666666666664,109.38589225763988,9,139.97,455.09,358,874.3699999999999,339.06,952.36,564.54,229.29,1.0,1.0,1.0,2023-01-04,9,Online Banking,0
488,28,F,Married,Medium,393.84,393.84,0.0,1,393.84,393.84,0,393.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-06-14,33,Mobile App,1
478,66,M,Single,Low,1615.8400000000001,323.168,173.16880469645795,5,99.23,499.13,311,0.0,936.85,179.86,499.13,0.0,0.0,0.0,0.0,2023-07-16,34,Mobile App,1
75,53,F,Single,High,769.97,192.4925,92.21556209049895,4,57.03,259.91,130,259.91,57.03,238.78,214.25,0.0,1.0,1.0,1.0,2023-06-17,12,Mobile App,1
764,27,M,Widowed,Medium,496.99,496.99,0.0,1,496.99,496.99,0,0.0,0.0,0.0,0.0,496.99,0.0,0.0,0.0,2023-02-15,28,Mobile App,0
149,28,M,Single,Medium,444.84,444.84,0.0,1,444.84,444.84,0,444.84,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2023-02-17,6,Online Banking,0
327,48,M,Single,High,403.37,201.685,219.47887381249248,2,46.49,356.88,251,0.0,46.49,0.0,0.0,356.88,2.0,1.0,0.5,2023-08-27,28,Website,0
89,24,M,Single,Medium,1951.99,278.85571428571427,157.9536412851508,7,55.81,480.04,220,0.0,480.04,908.1,330.59,233.26,0.0,0.0,0.0,2023-09-06,12,Mobile App,0
812,57,F,Single,Medium,2042.29,291.7557142857143,127.33154988155172,7,111.75,459.89,196,748.7,0.0,111.75,161.01,1020.8299999999999,2.0,2.0,1.0,2023-03-09,39,Mobile App,1
218,56,F,Married,High,1766.57,252.36714285714285,136.95806374145894,7,104.15,480.54,350,323.22,796.3199999999999,104.15,0.0,542.88,0.0,0.0,0.0,2023-06-12,40,Mobile App,0
49,27,F,Single,Medium,641.48,213.82666666666668,146.3247663019946,3,62.73,354.86,98,62.73,0.0,223.89,0.0,354.86,0.0,0.0,0.0,2023-02-19,18,Online Banking,0
333,61,M,Single,High,2439.39,348.4842857142857,171.14605905065832,7,31.47,477.35,207,31.47,209.12,1735.67,0.0,463.13,2.0,1.0,0.5,2023-12-13,11,Website,0
561,61,M,Married,Low,1369.4,228.23333333333335,134.37672427420856,6,35.65,378.48,334,35.65,983.82,0.0,349.93,0.0,1.0,1.0,1.0,2023-10-22,38,Online Banking,0
233,53,F,Married,High,817.4200000000001,272.47333333333336,196.87588408267106,3,69.76,462.94,271,69.76,462.94,284.72,0.0,0.0,2.0,2.0,1.0,2023-09-18,33,Website,0
371,18,M,Single,Medium,1454.45,290.89,203.12065416889538,5,6.3,487.18,320,0.0,427.27,6.3,380.33,640.55,2.0,2.0,1.0,2023-06-15,35,Website,0
620,29,F,Single,High,694.35,231.45000000000002,155.18379006842179,3,61.68,365.99,56,0.0,0.0,365.99,0.0,328.36,1.0,0.0,0.0,2023-02-25,12,Online Banking,0
60,18,F,Single,High,781.09,195.2725,194.45063133093703,4,10.61,457.37,321,218.36,94.75,10.61,0.0,457.37,2.0,1.0,0.5,2023-03-02,25,Mobile App,0
589,20,F,Widowed,Medium,2356.94,261.88222222222225,175.27169036796684,9,27.84,437.52,338,468.87,1467.74,0.0,0.0,420.33,2.0,1.0,0.5,2023-04-20,11,Mobile App,1
762,18,F,Single,Low,2577.9500000000003,286.4388888888889,116.04943746572454,9,135.18,463.35,232,463.35,675.9300000000001,540.59,166.32,731.76,1.0,0.0,0.0,2023-11-06,34,Mobile App,1
680,46,M,Married,Medium,2490.85,276.7611111111111,95.93810692895244,9,119.22,423.15,345,268.64,921.24,653.3800000000001,0.0,647.5899999999999,0.0,0.0,0.0,2023-12-24,16,Website,0
