iter	Passed	Remaining
0	4	940
1	8	887
2	13	916
3	18	896
4	22	885
5	27	894
6	31	870
7	37	888
8	45	961
9	49	948
10	55	956
11	60	949
12	65	943
13	69	928
14	74	923
15	78	903
16	82	890
17	87	880
18	91	870
19	95	859
20	99	845
21	103	839
22	108	833
23	111	820
24	115	811
25	122	819
26	126	811
27	130	802
28	135	800
29	139	791
30	143	782
31	147	772
32	152	770
33	156	763
34	159	752
35	163	742
36	167	737
37	172	735
38	176	728
39	180	721
40	228	887
41	237	895
42	247	903
43	257	912
44	267	921
45	278	933
46	288	938
47	293	928
48	297	917
49	302	906
50	306	896
51	329	938
52	333	926
53	338	913
54	342	903
55	346	891
56	350	879
57	354	866
58	358	856
59	363	848
60	367	838
61	371	827
62	376	818
63	380	807
64	383	797
65	387	787
66	391	777
67	395	768
68	399	757
69	402	748
70	407	741
71	411	732
72	415	722
73	419	713
74	424	707
75	428	698
76	432	690
77	436	682
78	440	674
79	444	666
80	447	658
81	451	650
82	456	643
83	461	636
84	465	629
85	470	623
86	474	616
87	479	610
88	484	603
89	488	596
90	492	589
91	498	584
92	503	578
93	507	572
94	512	566
95	517	560
96	521	554
97	526	547
98	531	542
99	535	535
100	540	529
101	544	523
102	549	517
103	553	510
104	557	504
105	563	500
106	568	493
107	572	487
108	576	481
109	580	475
110	584	468
111	588	462
112	594	457
113	598	451
114	603	445
115	609	441
116	613	435
117	619	430
118	624	425
119	630	420
120	634	414
121	639	408
122	644	403
123	648	397
124	652	391
125	658	386
126	662	380
127	666	375
128	671	369
129	676	364
130	680	358
131	684	352
132	689	347
133	694	342
134	698	336
135	703	331
136	708	325
137	716	322
138	720	316
139	726	311
140	730	305
141	735	300
142	739	294
143	743	289
144	747	283
145	752	278
146	755	272
147	759	266
148	763	261
149	767	255
150	771	250
151	775	244
152	779	239
153	783	233
154	787	228
155	790	223
156	795	217
157	799	212
158	803	207
159	807	201
160	812	196
161	815	191
162	820	186
163	824	180
164	828	175
165	832	170
166	837	165
167	840	160
168	845	155
169	849	149
170	853	144
171	858	139
172	862	134
173	867	129
174	871	124
175	875	119
176	879	114
177	882	109
178	887	104
179	891	99
180	895	93
181	899	88
182	904	83
183	907	78
184	912	73
185	915	68
186	921	64
187	925	59
188	929	54
189	933	49
190	937	44
191	941	39
192	945	34
193	949	29
194	953	24
195	956	19
196	960	14
197	964	9
198	968	4
199	972	0
